ldr1,led2,led3,temperature1,potentiometer2,gas1,led1,air_quality1,temperature2,potentiometer1,humidity1,anomaly
76.34342,88.62745,75.738304,24.477007,46.38672,9.52466,130.0,13.522215,25.048006,50.195312,61.548004,1
75.681175,88.62745,74.84993,24.580996,46.289062,7.5651884,0.0,15.377684,25.248005,50.097656,79.44797,1
76.740776,88.62745,75.738304,24.151236,46.289062,18.020744,130.0,41.451912,24.748005,50.195312,63.548004,1
74.22422,88.62745,73.77752,24.336596,46.289062,7.369876,0.0,13.522215,24.948006,50.097656,65.547966,1
73.826866,88.62745,72.889145,25.152996,46.38672,7.076907,0.0,11.56909,25.448006,50.195312,98.74797,1
73.95932,88.62745,72.99321,24.477007,46.289062,7.6628447,0.0,21.139412,25.148006,50.29297,65.84797,1
76.34342,88.62745,75.738304,24.395493,46.289062,8.841066,130.0,13.229246,24.948006,50.195312,61.348007,1
74.48912,88.62745,73.77752,24.418015,46.289062,7.467532,0.0,13.717527,25.148006,50.195312,65.24797,1
76.60832,88.62745,75.738304,24.173899,46.289062,8.932371,0.0,16.061287,24.748005,50.29297,65.047966,1
74.09177,88.62745,73.77752,24.499481,46.289062,7.760501,0.0,14.69409,25.048006,50.29297,66.047966,1
8.528825,88.62745,7.791138,25.212906,46.38672,7.6691866,130.0,12.643309,24.748005,50.29297,61.951996,1
76.34342,88.62745,75.738304,24.151236,46.38672,8.059816,130.0,12.35034,24.948006,50.195312,61.248005,1
76.87322,88.62745,75.738304,24.558569,46.38672,7.473874,130.0,12.838621,25.248005,50.195312,98.84797,1
76.60832,88.62745,75.738304,24.151236,46.38672,11.959715,0.0,22.701912,24.851994,50.29297,63.548004,1
76.02649,88.62745,75.68627,24.20323,46.289062,7.3242188,0.0,12.155027,24.8,50.195312,1638.3,1
29.219528,40.0,28.575457,24.314026,39.257812,7.5715303,140.0,12.545652,24.848005,54.492188,61.051994,1
76.475876,88.62745,75.738304,24.255224,46.38672,10.397215,0.0,16.940193,24.748005,50.195312,63.248005,1
73.95932,88.62745,72.889145,25.071127,46.38672,7.076907,0.0,11.56909,25.248005,50.29297,98.74797,1
74.09177,88.62745,73.77752,24.418015,46.289062,7.6628447,0.0,14.401121,24.948006,50.195312,66.44797,1
74.48912,88.62745,73.77752,24.418015,46.289062,7.467532,0.0,13.522215,24.948006,50.195312,65.44797,1
28.689728,88.62745,29.751926,25.459167,46.38672,7.5715303,130.0,13.326902,25.348005,50.195312,84.65203,1
12.237434,88.62745,6.6146674,26.532457,46.289062,7.2785616,130.0,11.666746,24.748005,50.29297,93.15203,1
74.35667,88.62745,73.77752,24.499481,46.289062,7.760501,0.0,15.572996,25.048006,50.195312,65.94797,1
73.95932,88.62745,72.99321,24.418015,46.289062,7.5651884,0.0,15.280027,24.948006,50.195312,66.44797,1
78.22611,88.62745,77.595024,24.418015,46.289062,6.9335938,0.0,11.959715,-3276.6487,50.195312,60.848007,1
76.210976,88.62745,75.738304,24.151236,46.38672,8.352785,130.0,12.545652,24.948006,50.195312,61.348007,1
76.34342,88.62745,75.738304,24.336596,46.289062,7.467532,0.0,15.963624,24.848005,50.29297,66.147964,1
75.946075,88.62745,74.953995,24.74417,46.289062,7.467532,0.0,16.74488,25.451994,50.195312,98.74797,1
77.828766,88.62745,76.810715,24.336596,46.289062,7.467532,0.0,12.447996,-3276.6487,50.195312,62.948006,1
71.972565,0.0,71.032425,24.336596,0.0,7.467532,0.0,12.838621,24.848005,0.0,60.348007,1
2.3036547,88.62745,1.908784,24.395493,46.38672,7.6691866,130.0,18.698006,24.848005,50.195312,66.05203,1
76.210976,88.62745,75.738304,24.173899,46.38672,8.737059,0.0,15.182371,24.748005,50.195312,63.148006,1
74.09177,88.62745,72.99321,24.314026,46.289062,7.5651884,0.0,19.186287,25.051994,50.29297,66.547966,1
80.97919,40.0,80.05203,25.13093,39.160156,7.5715303,140.0,13.229246,24.848005,54.492188,65.44797,1
76.210976,88.62745,75.738304,24.64018,46.289062,10.598879,130.0,15.377684,25.048006,50.195312,61.748005,1
28.557278,40.0,27.791143,25.377026,39.257812,7.5715303,140.0,12.545652,24.848005,54.589844,61.651993,1
73.42952,88.62745,72.99321,24.721844,46.289062,8.450441,130.0,14.205809,25.048006,50.195312,63.448006,1
11.575183,88.62745,12.99318,24.314026,46.38672,7.2785616,130.0,11.56909,24.748005,50.29297,65.852036,1
76.34342,88.62745,75.738304,24.232607,46.289062,8.450441,130.0,12.545652,24.948006,50.195312,61.248005,1
76.210976,88.62745,75.738304,24.721844,46.289062,12.747316,130.0,17.721443,25.048006,50.195312,62.748005,1
78.85998,88.62745,77.69909,25.212906,46.289062,7.376218,130.0,12.740965,26.148006,50.097656,68.44797,1
77.93283,0.0,76.91478,24.255224,79.88281,7.760501,0.0,12.936277,24.848005,0.29296875,60.248005,1
74.09177,88.62745,73.673454,24.907545,46.38672,6.979251,0.0,11.471434,25.248005,50.195312,79.047966,1
74.48912,88.62745,73.77752,24.499481,46.289062,7.467532,0.0,13.717527,25.148006,50.195312,65.34797,1
32.369877,88.62745,31.712711,24.232607,46.38672,8.059816,130.0,13.815184,24.948006,50.195312,63.351994,1
76.60832,88.62745,75.738304,24.255224,46.289062,8.834715,0.0,15.865965,24.748005,50.195312,65.047966,1
75.15137,88.62745,74.953995,24.499481,46.289062,7.5651884,0.0,16.74488,25.348005,50.195312,65.74797,1
73.95932,88.62745,72.99321,25.294937,46.289062,7.1809053,130.0,11.56909,26.348005,50.195312,98.74797,1
74.35667,88.62745,73.77752,24.580996,46.289062,7.760501,0.0,16.842537,25.248005,50.195312,65.647964,1
64.58373,88.62745,29.751926,24.967138,87.01172,8.157473,242.0,13.717527,26.448006,92.96875,98.852036,1
27.336763,88.62745,26.614672,24.721844,46.289062,8.938723,130.0,14.791746,24.948006,50.195312,64.25203,1
76.475876,88.62745,75.738304,24.173899,46.289062,9.127684,0.0,15.670652,24.748005,50.195312,63.148006,1
76.210976,88.62745,75.738304,24.64018,46.289062,12.454348,130.0,17.721443,25.048006,50.195312,62.748005,1
76.34342,88.62745,75.738304,24.721844,46.289062,13.919191,130.0,19.3816,25.048006,50.29297,65.74797,1
68.6613,88.62745,67.89517,24.232607,46.289062,7.766843,130.0,13.326902,24.948006,50.195312,49.5,1
