ldr1,led2,led3,temperature1,potentiometer2,gas1,led1,air_quality1,temperature2,potentiometer1,humidity1,anomaly
76.44741,88.62745,75.84229,24.373,46.38672,9.628658,130.0,13.418217,24.943998,50.195312,61.444016,1
75.785164,88.62745,74.74594,24.685003,46.289062,7.4611855,0.0,15.273685,25.143997,50.097656,79.34398,1
76.844765,88.62745,75.84229,24.047228,46.289062,18.124752,130.0,41.347923,24.643997,50.195312,63.444016,1
74.32821,88.62745,73.88151,24.440603,46.289062,7.265873,0.0,13.418217,24.843998,50.097656,65.44398,1
73.930855,88.62745,72.78516,25.257004,46.38672,6.972904,0.0,11.465092,25.343998,50.195312,98.64398,1
74.06331,88.62745,73.0972,24.373,46.289062,7.5588417,0.0,21.035404,25.043999,50.29297,65.74398,1
76.44741,88.62745,75.84229,24.291485,46.289062,8.945065,130.0,13.125248,24.843998,50.195312,61.24402,1
74.59311,88.62745,73.88151,24.522022,46.289062,7.363529,0.0,13.613529,25.043999,50.195312,65.14398,1
76.71231,88.62745,75.84229,24.277906,46.289062,8.828373,0.0,15.957279,24.643997,50.29297,64.94398,1
74.195755,88.62745,73.88151,24.603489,46.289062,7.656498,0.0,14.590092,24.943998,50.29297,65.94398,1
8.632823,88.62745,7.687135,25.108898,46.38672,7.7731895,130.0,12.53931,24.643997,50.29297,62.055984,1
76.44741,88.62745,75.84229,24.047228,46.38672,8.163815,130.0,12.246342,24.843998,50.195312,61.144016,1
76.97721,88.62745,75.84229,24.454561,46.38672,7.577877,130.0,12.734623,25.143997,50.195312,98.74398,1
76.71231,88.62745,75.84229,24.047228,46.38672,11.855717,0.0,22.597904,24.956001,50.29297,63.444016,1
76.02649,88.62745,75.68627,24.20323,46.289062,7.3242188,0.0,12.051029,24.8,50.195312,1638.3,1
29.11552,40.0,28.471449,24.210018,39.257812,7.6755333,140.0,12.441654,24.743998,54.492188,61.155983,1
76.579865,88.62745,75.84229,24.359232,46.38672,10.293217,0.0,16.836185,24.643997,50.195312,63.144016,1
74.06331,88.62745,72.78516,25.175135,46.38672,6.972904,0.0,11.465092,25.143997,50.29297,98.64398,1
74.195755,88.62745,73.88151,24.522022,46.289062,7.5588417,0.0,14.297123,24.843998,50.195312,66.34398,1
74.59311,88.62745,73.88151,24.522022,46.289062,7.363529,0.0,13.418217,24.843998,50.195312,65.34398,1
28.58572,88.62745,29.647919,25.38636,46.38672,7.6755333,130.0,13.222904,25.243998,50.195312,84.75602,1
12.341433,88.62745,6.5106645,26.42845,46.289062,7.3825645,130.0,11.562748,24.643997,50.29297,93.25602,1
74.460655,88.62745,73.88151,24.603489,46.289062,7.656498,0.0,15.468998,24.943998,50.195312,65.84398,1
74.06331,88.62745,73.0972,24.522022,46.289062,7.4611855,0.0,15.176029,24.843998,50.195312,66.34398,1
78.12212,88.62745,77.491035,24.522022,46.289062,6.9335938,0.0,11.855717,-3276.5437,50.195312,60.74402,1
76.314964,88.62745,75.84229,24.047228,46.38672,8.456783,130.0,12.441654,24.843998,50.195312,61.24402,1
76.44741,88.62745,75.84229,24.440603,46.289062,7.363529,0.0,15.859623,24.743998,50.29297,66.043976,1
76.050064,88.62745,75.05798,24.848177,46.289062,7.363529,0.0,16.640873,25.556002,50.195312,98.64398,1
77.72478,88.62745,76.706726,24.440603,46.289062,7.363529,0.0,12.343998,-3276.5437,50.195312,62.844017,1
72.07655,0.0,71.13641,24.440603,0.0,7.363529,0.0,12.734623,24.743998,0.0,60.24402,1
2.4076552,88.62745,1.8047847,24.291485,46.38672,7.7731895,130.0,18.593998,24.743998,50.195312,66.15602,1
76.314964,88.62745,75.84229,24.277906,46.38672,8.63306,0.0,15.078373,24.643997,50.195312,63.044018,1
74.195755,88.62745,73.0972,24.210018,46.289062,7.4611855,0.0,19.08228,25.156002,50.29297,66.44398,1
