ldr1,led2,led3,temperature1,potentiometer2,gas1,led1,air_quality1,temperature2,potentiometer1,humidity1,anomaly
76.48441,88.62745,75.879295,24.335997,46.38672,9.665661,130.0,13.381214,24.906996,50.195312,61.407013,1
75.82217,88.62745,74.70894,24.722006,46.289062,7.4241877,0.0,15.236683,25.106995,50.097656,79.30698,1
76.88177,88.62745,75.879295,24.010225,46.289062,18.161755,130.0,41.31092,24.606995,50.195312,63.407013,1
74.36521,88.62745,73.91851,24.477606,46.289062,7.228875,0.0,13.381214,24.806995,50.097656,65.406975,1
73.96786,88.62745,72.74815,25.294006,46.38672,6.9359064,0.0,11.428089,25.306995,50.195312,98.60698,1
74.10031,88.62745,73.1342,24.335997,46.289062,7.521844,0.0,20.998402,25.006996,50.29297,65.70698,1
76.48441,88.62745,75.879295,24.254482,46.289062,8.982067,130.0,13.088245,24.806995,50.195312,61.207016,1
74.63011,88.62745,73.91851,24.559025,46.289062,7.3265314,0.0,13.576527,25.006996,50.195312,65.10698,1
76.74931,88.62745,75.879295,24.314909,46.289062,8.79137,0.0,15.920277,24.606995,50.29297,64.906975,1
74.23276,88.62745,73.91851,24.640491,46.289062,7.6195,0.0,14.553089,24.906996,50.29297,65.906975,1
8.669826,88.62745,7.6501374,25.071896,46.38672,7.8101873,130.0,12.502308,24.606995,50.29297,62.092987,1
76.48441,88.62745,75.879295,24.010225,46.38672,8.200817,130.0,12.209339,24.806995,50.195312,61.107014,1
77.01421,88.62745,75.879295,24.417559,46.38672,7.614875,130.0,12.69762,25.106995,50.195312,98.70698,1
76.74931,88.62745,75.879295,24.010225,46.38672,11.818714,0.0,22.560902,24.993004,50.29297,63.407013,1
76.02649,88.62745,75.68627,24.20323,46.289062,7.3242188,0.0,12.014027,24.8,50.195312,1638.3,1
29.078518,40.0,28.434446,24.173016,39.257812,7.712531,140.0,12.404652,24.706995,54.492188,61.192986,1
76.61687,88.62745,75.879295,24.396235,46.38672,10.256214,0.0,16.799183,24.606995,50.195312,63.107014,1
74.10031,88.62745,72.74815,25.212137,46.38672,6.9359064,0.0,11.428089,25.106995,50.29297,98.60698,1
74.23276,88.62745,73.91851,24.559025,46.289062,7.521844,0.0,14.26012,24.806995,50.195312,66.30698,1
74.63011,88.62745,73.91851,24.559025,46.289062,7.3265314,0.0,13.381214,24.806995,50.195312,65.30698,1
28.548717,88.62745,29.610916,25.395359,46.38672,7.712531,130.0,13.185902,25.206995,50.195312,84.79302,1
12.378435,88.62745,6.4736667,26.391447,46.289062,7.4195623,130.0,11.525745,24.606995,50.29297,93.29302,1
74.49766,88.62745,73.91851,24.640491,46.289062,7.6195,0.0,15.431995,24.906996,50.195312,65.80698,1
74.10031,88.62745,73.1342,24.559025,46.289062,7.4241877,0.0,15.139027,24.806995,50.195312,66.30698,1
78.08512,88.62745,77.45403,24.559025,46.289062,6.9335938,0.0,11.818714,-3276.507,50.195312,60.707016,1
76.35197,88.62745,75.879295,24.010225,46.38672,8.493786,130.0,12.404652,24.806995,50.195312,61.207016,1
76.48441,88.62745,75.879295,24.477606,46.289062,7.3265314,0.0,15.82262,24.706995,50.29297,66.00697,1
76.08707,88.62745,75.094986,24.88518,46.289062,7.3265314,0.0,16.60387,25.593004,50.195312,98.60698,1
77.687775,88.62745,76.66972,24.477606,46.289062,7.3265314,0.0,12.306995,-3276.507,50.195312,62.807014,1
72.113556,0.0,71.173416,24.477606,0.0,7.3265314,0.0,12.69762,24.706995,0.0,60.207016,1
2.4446554,88.62745,1.7677845,24.254482,46.38672,7.8101873,130.0,18.556995,24.706995,50.195312,66.19302,1
76.35197,88.62745,75.879295,24.314909,46.38672,8.596058,0.0,15.04137,24.606995,50.195312,63.007015,1
74.23276,88.62745,73.1342,24.173016,46.289062,7.4241877,0.0,19.045277,25.193005,50.29297,66.406975,1
81.12018,40.0,80.19302,24.98992,39.160156,7.712531,140.0,13.088245,24.706995,54.492188,65.30698,1
76.35197,88.62745,75.879295,24.49917,46.289062,10.73988,130.0,15.236683,24.906996,50.195312,61.607014,1
28.416267,40.0,27.650133,25.236015,39.257812,7.712531,140.0,12.404652,24.706995,54.589844,61.792984,1
73.57051,88.62745,73.1342,24.580833,46.289062,8.591442,130.0,14.064808,24.906996,50.195312,63.307014,1
11.716184,88.62745,13.134181,24.173016,46.38672,7.4195623,130.0,11.428089,24.606995,50.29297,65.99303,1
