ldr1,led2,led3,temperature1,potentiometer2,gas1,led1,air_quality1,temperature2,potentiometer1,humidity1,anomaly
76.386375,88.62745,75.78126,24.433996,46.38672,9.567652,130.0,13.479223,25.004995,50.195312,61.505013,1
75.72413,88.62745,74.80698,24.624006,46.289062,7.522187,0.0,15.334692,25.204994,50.097656,79.405014,1
76.78373,88.62745,75.78126,24.108225,46.289062,18.063755,130.0,41.40892,24.704994,50.195312,63.505013,1
74.26717,88.62745,73.82047,24.379606,46.289062,7.3268747,0.0,13.479223,24.904995,50.097656,65.50501,1
73.86982,88.62745,72.84619,25.196007,46.38672,7.033906,0.0,11.526098,25.404995,50.195312,98.70502,1
74.00227,88.62745,73.03616,24.433996,46.289062,7.6198435,0.0,21.096401,25.104996,50.29297,65.805016,1
76.386375,88.62745,75.78126,24.352482,46.289062,8.884058,130.0,13.1862545,24.904995,50.195312,61.305016,1
74.532074,88.62745,73.82047,24.461025,46.289062,7.424531,0.0,13.674536,25.104996,50.195312,65.20502,1
76.651276,88.62745,75.78126,24.21691,46.289062,8.8893795,0.0,16.018276,24.704994,50.29297,65.00501,1
74.13472,88.62745,73.82047,24.542492,46.289062,7.7174997,0.0,14.651098,25.004995,50.29297,66.00501,1
8.571816,88.62745,7.748137,25.169895,46.38672,7.712188,130.0,12.600317,24.704994,50.29297,61.994987,1
76.386375,88.62745,75.78126,24.108225,46.38672,8.102808,130.0,12.307348,24.904995,50.195312,61.205013,1
76.916176,88.62745,75.78126,24.515558,46.38672,7.5168753,130.0,12.7956295,25.204994,50.195312,98.805016,1
76.651276,88.62745,75.78126,24.108225,46.38672,11.916723,0.0,22.658901,24.895004,50.29297,63.505013,1
76.02649,88.62745,75.68627,24.20323,46.289062,7.3242188,0.0,12.112036,24.8,50.195312,1638.3,1
29.176517,40.0,28.532446,24.271015,39.257812,7.6145315,140.0,12.502661,24.804995,54.492188,61.094986,1
76.51883,88.62745,75.78126,24.298235,46.38672,10.354223,0.0,16.897182,24.704994,50.195312,63.205013,1
74.00227,88.62745,72.84619,25.114138,46.38672,7.033906,0.0,11.526098,25.204994,50.29297,98.70502,1
74.13472,88.62745,73.82047,24.461025,46.289062,7.6198435,0.0,14.3581295,24.904995,50.195312,66.405014,1
74.532074,88.62745,73.82047,24.461025,46.289062,7.424531,0.0,13.479223,24.904995,50.195312,65.405014,1
28.646717,88.62745,29.708916,25.416157,46.38672,7.6145315,130.0,13.283911,25.304995,50.195312,84.694984,1
12.280426,88.62745,6.5716662,26.489447,46.289062,7.321563,130.0,11.6237545,24.704994,50.29297,93.194984,1
74.39962,88.62745,73.82047,24.542492,46.289062,7.7174997,0.0,15.5300045,25.004995,50.195312,65.905014,1
74.00227,88.62745,73.03616,24.461025,46.289062,7.522187,0.0,15.237036,24.904995,50.195312,66.405014,1
78.18316,88.62745,77.55207,24.461025,46.289062,6.9335938,0.0,11.916723,-3276.6047,50.195312,60.805016,1
76.25393,88.62745,75.78126,24.108225,46.38672,8.395777,130.0,12.502661,24.904995,50.195312,61.305016,1
76.386375,88.62745,75.78126,24.379606,46.289062,7.424531,0.0,15.920629,24.804995,50.29297,66.10501,1
75.98903,88.62745,74.99695,24.78718,46.289062,7.424531,0.0,16.70187,25.495005,50.195312,98.70502,1
77.78581,88.62745,76.76776,24.379606,46.289062,7.424531,0.0,12.4050045,-3276.6047,50.195312,62.905014,1
72.01552,0.0,71.07538,24.379606,0.0,7.424531,0.0,12.7956295,24.804995,0.0,60.305016,1
2.3466558,88.62745,1.865784,24.352482,46.38672,7.712188,130.0,18.654995,24.804995,50.195312,66.094986,1
76.25393,88.62745,75.78126,24.21691,46.38672,8.694067,0.0,15.1393795,24.704994,50.195312,63.105015,1
74.13472,88.62745,73.03616,24.271015,46.289062,7.522187,0.0,19.143276,25.095005,50.29297,66.50501,1
81.02214,40.0,80.094986,25.08792,39.160156,7.6145315,140.0,13.1862545,24.804995,54.492188,65.405014,1
76.25393,88.62745,75.78126,24.59717,46.289062,10.6418705,130.0,15.334692,25.004995,50.195312,61.705013,1
28.514267,40.0,27.748133,25.334015,39.257812,7.6145315,140.0,12.502661,24.804995,54.589844,61.694984,1
73.47247,88.62745,73.03616,24.678833,46.289062,8.493433,130.0,14.162817,25.004995,50.195312,63.405014,1
11.618175,88.62745,13.036172,24.271015,46.38672,7.321563,130.0,11.526098,24.704994,50.29297,65.89499,1
76.386375,88.62745,75.78126,24.189596,46.289062,8.493433,130.0,12.502661,24.904995,50.195312,61.205013,1
76.25393,88.62745,75.78126,24.678833,46.289062,12.790308,130.0,17.678432,25.004995,50.195312,62.705013,1
78.90293,88.62745,77.74204,25.169895,46.289062,7.419219,130.0,12.697973,26.104996,50.097656,68.405014,1
77.975784,0.0,76.95773,24.298235,79.88281,7.7174997,0.0,12.893286,24.804995,0.29296875,60.205013,1
74.13472,88.62745,73.6305,24.950556,46.38672,6.9362497,0.0,11.428442,25.204994,50.195312,79.00501,1
74.532074,88.62745,73.82047,24.542492,46.289062,7.424531,0.0,13.674536,25.104996,50.195312,65.305016,1
32.41287,88.62745,31.6697,24.189596,46.38672,8.102808,130.0,13.772192,24.904995,50.195312,63.394985,1
76.651276,88.62745,75.78126,24.298235,46.289062,8.791723,0.0,15.822973,24.704994,50.195312,65.00501,1
75.19432,88.62745,74.99695,24.542492,46.289062,7.522187,0.0,16.70187,25.304995,50.195312,65.70502,1
74.00227,88.62745,73.03616,25.251926,46.289062,7.2239065,130.0,11.526098,26.304995,50.195312,98.70502,1
74.39962,88.62745,73.82047,24.624006,46.289062,7.7174997,0.0,16.799526,25.204994,50.195312,65.60501,1
64.54078,88.62745,29.708916,24.924128,87.01172,8.200464,242.0,13.674536,26.404995,92.96875,98.89499,1
27.379774,88.62745,26.571661,24.678833,46.289062,8.981714,130.0,14.7487545,24.904995,50.195312,64.29498,1
76.51883,88.62745,75.78126,24.21691,46.289062,9.084692,0.0,15.627661,24.704994,50.195312,63.105015,1
76.25393,88.62745,75.78126,24.59717,46.289062,12.497339,130.0,17.678432,25.004995,50.195312,62.705013,1
76.386375,88.62745,75.78126,24.678833,46.289062,13.962183,130.0,19.338589,25.004995,50.29297,65.70502,1
68.704254,88.62745,67.938126,24.189596,46.289062,7.809844,130.0,13.283911,24.904995,50.195312,49.5,1
76.78373,88.62745,75.78126,24.21691,46.38672,8.8893795,0.0,16.115932,24.704994,50.29297,65.00501,1
76.25393,88.62745,75.78126,24.515558,46.289062,10.153589,130.0,14.455786,25.004995,50.195312,61.505013,1
74.00227,88.62745,73.82047,24.461025,46.38672,7.6198435,0.0,15.920629,24.904995,50.29297,66.50501,1
74.66452,88.62745,73.82047,24.461025,46.289062,8.694067,0.0,17.287807,24.904995,50.29297,65.405014,1
76.25393,88.62745,75.78126,24.379606,46.38672,8.8893795,0.0,16.018276,24.704994,50.195312,65.10501,1
74.00227,18.82353,73.03616,24.379606,18.75,7.3268747,0.0,12.4050045,24.804995,0.09765625,60.305016,1
76.386375,88.62745,75.78126,24.379606,46.289062,8.8893795,0.0,16.408901,24.704994,50.195312,64.905014,1
74.532074,88.62745,73.82047,24.461025,46.289062,7.424531,0.0,13.479223,24.904995,50.195312,65.50501,1
14.00228,88.62745,11.66971,25.662931,46.38672,7.321563,130.0,12.209692,24.904995,50.195312,63.394985,1
75.326775,88.62745,74.99695,24.542492,46.38672,7.522187,0.0,17.678432,25.304995,50.195312,65.905014,1
77.975784,88.62745,76.95773,25.334015,46.289062,7.6145315,130.0,12.990942,26.404995,50.195312,98.70502,1
59.830086,88.62745,58.918514,24.59717,46.289062,7.6145315,130.0,12.502661,24.704994,50.195312,73.10501,1
76.651276,88.62745,75.78126,24.298235,46.38672,10.256567,0.0,18.362026,24.704994,50.195312,63.305016,1
80.88969,40.0,80.094986,25.251926,39.257812,7.6145315,140.0,13.1862545,24.804995,54.492188,65.405014,1
76.78373,88.62745,75.78126,24.298235,46.38672,8.8893795,0.0,16.213589,24.704994,50.195312,65.00501,1
74.66452,88.62745,73.82047,24.461025,46.289062,7.424531,0.0,14.162817,25.104996,50.195312,65.405014,1
76.51883,88.62745,75.78126,24.379606,46.38672,8.596411,0.0,15.334692,24.704994,50.195312,64.905014,1
74.13472,88.62745,73.82047,24.461025,46.289062,7.6198435,0.0,14.944067,24.904995,50.195312,66.405014,1
