ldr1,led2,led3,temperature1,potentiometer2,gas1,led1,air_quality1,temperature2,potentiometer1,humidity1,anomaly
76.60137,88.62745,75.996254,24.839003,46.38672,9.162655,130.0,13.264217,24.789999,50.195312,61.290016,1
75.939125,88.62745,75.211945,24.839003,46.289062,7.307186,0.0,15.119686,24.989998,50.097656,79.19002,1
76.37876,88.62745,75.37629,24.513231,46.289062,17.658749,130.0,41.193924,24.489998,50.195312,63.290016,1
74.48217,88.62745,74.03547,24.594603,46.289062,7.1118736,0.0,13.264217,25.310001,50.097656,65.290016,1
74.084816,88.62745,73.25116,25.411003,46.38672,6.9335938,0.0,11.425781,25.251999,50.195312,98.49002,1
74.21727,88.62745,73.25116,24.839003,46.289062,7.4048424,0.0,20.881405,24.89,50.29297,65.59002,1
76.60137,88.62745,75.996254,24.757488,46.289062,8.479061,130.0,12.971249,24.689999,50.195312,61.09002,1
74.74707,88.62745,74.03547,24.676022,46.289062,7.20953,0.0,13.45953,25.510002,50.195312,64.99002,1
76.86627,88.62745,75.996254,24.431906,46.289062,8.674374,0.0,15.80328,25.11,50.29297,64.790016,1
74.34972,88.62745,74.03547,24.757488,46.289062,7.5024986,0.0,14.436092,24.789999,50.29297,65.790016,1
8.16682,88.62745,7.533136,24.954899,46.38672,7.307186,130.0,12.385311,24.489998,50.29297,61.59002,1
76.60137,88.62745,75.996254,24.513231,46.38672,7.697811,130.0,12.092342,24.689999,50.195312,60.990017,1
77.13117,88.62745,75.996254,24.920565,46.38672,7.1118736,130.0,12.580624,24.989998,50.195312,98.59002,1
76.86627,88.62745,75.996254,24.513231,46.38672,11.701717,0.0,22.443905,24.489998,50.29297,63.290016,1
76.02649,88.62745,75.68627,24.20323,46.289062,7.3242188,0.0,12.207031,24.8,50.195312,1638.3,1
28.961521,40.0,28.31745,24.676022,39.257812,7.20953,140.0,12.287655,24.589998,54.492188,60.690018,1
76.733826,88.62745,75.996254,24.513231,46.38672,10.139217,0.0,16.682186,25.11,50.195312,62.990017,1
74.21727,88.62745,73.25116,25.329134,46.38672,6.9335938,0.0,11.425781,24.989998,50.29297,98.49002,1
74.34972,88.62745,74.03547,24.676022,46.289062,7.4048424,0.0,14.143124,24.689999,50.195312,66.19002,1
74.74707,88.62745,74.03547,24.676022,46.289062,7.20953,0.0,13.264217,25.310001,50.195312,65.19002,1
28.43172,88.62745,29.49392,25.821163,46.38672,7.20953,130.0,13.068905,25.089998,50.195312,84.290016,1
11.875429,88.62745,6.356665,26.584452,46.289062,6.9335938,130.0,11.425781,24.489998,50.29297,92.790016,1
74.61462,88.62745,74.03547,24.757488,46.289062,7.5024986,0.0,15.314999,24.789999,50.195312,65.69002,1
74.21727,88.62745,73.25116,24.676022,46.289062,7.307186,0.0,15.02203,24.689999,50.195312,66.19002,1
78.278145,88.62745,77.64706,24.36602,46.289062,6.9335938,0.0,12.011719,-3276.7,50.195312,60.9,1
76.468925,88.62745,75.996254,24.513231,46.38672,7.99078,130.0,12.287655,24.689999,50.195312,61.09002,1
76.60137,88.62745,75.996254,24.594603,46.289062,7.20953,0.0,15.705624,25.210001,50.29297,65.890015,1
76.204025,88.62745,75.211945,25.002176,46.289062,7.20953,0.0,16.486874,25.089998,50.195312,98.49002,1
77.8808,88.62745,76.86275,24.284601,46.289062,7.5195312,0.0,12.5,-3276.7,50.195312,63.0,1
72.230515,0.0,71.290375,24.594603,0.0,7.20953,0.0,12.580624,25.210001,0.0,60.09002,1
1.9416564,88.62745,2.2707834,24.137486,46.38672,7.307186,130.0,18.439999,24.589998,50.195312,66.30998,1
76.468925,88.62745,75.996254,24.431906,46.38672,8.479061,0.0,14.924374,25.11,50.195312,62.89002,1
74.34972,88.62745,73.25116,24.676022,46.289062,7.307186,0.0,18.92828,24.689999,50.29297,66.290016,1
81.192055,40.0,79.69002,24.872923,39.160156,7.20953,140.0,12.971249,24.589998,54.492188,65.19002,1
75.84896,88.62745,75.37629,25.002176,46.289062,10.236874,130.0,15.119686,24.789999,50.195312,61.490017,1
28.29927,40.0,27.533136,25.739021,39.257812,7.20953,140.0,12.287655,24.589998,54.589844,61.290016,1
73.067505,88.62745,72.631195,25.08384,46.289062,8.088436,130.0,13.947811,24.789999,50.195312,63.190018,1
11.213178,88.62745,12.631175,24.056019,46.38672,6.9335938,130.0,11.425781,24.489998,50.29297,65.49002,1
76.60137,88.62745,75.996254,24.594603,46.289062,8.088436,130.0,12.287655,24.689999,50.195312,60.990017,1
75.84896,88.62745,75.37629,25.08384,46.289062,12.385311,130.0,17.463436,24.789999,50.195312,62.490017,1
79.11793,88.62745,77.95704,25.574902,46.289062,7.0142174,130.0,12.482967,25.89,50.097656,68.19002,1
78.19078,0.0,77.17273,24.513231,79.88281,8.122501,0.0,12.67828,25.210001,0.29296875,59.990017,1
74.34972,88.62745,74.03547,25.165552,46.38672,6.9335938,0.0,11.425781,24.989998,50.195312,78.790016,1
74.74707,88.62745,74.03547,24.757488,46.289062,7.20953,0.0,13.45953,25.510002,50.195312,65.09002,1
32.0079,88.62745,31.454704,24.594603,46.38672,7.697811,130.0,13.557186,24.689999,50.195312,62.990017,1
76.86627,88.62745,75.996254,24.513231,46.289062,8.576717,0.0,15.607967,25.11,50.195312,64.790016,1
75.40932,88.62745,75.211945,24.757488,46.289062,7.307186,0.0,16.486874,25.089998,50.195312,65.49002,1
74.21727,88.62745,73.25116,25.656933,46.289062,6.9335938,130.0,11.425781,26.089998,50.195312,98.49002,1
74.61462,88.62745,74.03547,24.839003,46.289062,7.5024986,0.0,16.58453,24.989998,50.195312,65.390015,1
64.32578,88.62745,29.49392,25.329134,87.01172,7.7954674,242.0,13.45953,26.189999,92.96875,98.49002,1
26.974768,88.62745,26.356665,25.08384,46.289062,8.576717,130.0,14.533749,24.689999,50.195312,63.890015,1
76.733826,88.62745,75.996254,24.431906,46.289062,8.869686,0.0,15.412655,25.11,50.195312,62.89002,1
75.84896,88.62745,75.37629,25.002176,46.289062,12.092342,130.0,17.463436,24.789999,50.195312,62.490017,1
75.98141,88.62745,75.37629,25.08384,46.289062,13.557186,130.0,19.123592,24.789999,50.29297,65.49002,1
68.299286,88.62745,67.53316,24.594603,46.289062,7.4048424,130.0,13.068905,24.689999,50.195312,49.5,1
76.998726,88.62745,75.996254,24.431906,46.38672,8.674374,0.0,15.900936,25.11,50.29297,64.790016,1
76.03495,88.62745,75.50028,24.920565,46.289062,9.748592,130.0,14.24078,24.789999,50.195312,61.290016,1
74.21727,88.62745,74.03547,24.676022,46.38672,7.4048424,0.0,15.705624,24.689999,50.29297,66.290016,1
74.87952,88.62745,74.03547,24.676022,46.289062,8.479061,0.0,17.072811,24.689999,50.29297,65.19002,1
76.468925,88.62745,75.996254,24.594603,46.38672,8.674374,0.0,15.80328,25.11,50.195312,64.890015,1
74.21727,18.82353,73.25116,24.594603,18.75,7.1118736,0.0,12.189999,25.210001,0.09765625,60.09002,1
76.60137,88.62745,75.996254,24.594603,46.289062,8.674374,0.0,16.193905,25.11,50.195312,64.69002,1
74.74707,88.62745,74.03547,24.676022,46.289062,7.20953,0.0,13.264217,25.310001,50.195312,65.290016,1
13.597283,88.62745,11.454704,25.447935,46.38672,6.9335938,130.0,11.994686,24.689999,50.195312,62.990017,1
75.54177,88.62745,75.211945,24.757488,46.38672,7.307186,0.0,17.463436,25.089998,50.195312,65.69002,1
78.19078,88.62745,77.17273,25.739021,46.289062,7.20953,130.0,12.775936,26.189999,50.195312,98.49002,1
59.425117,88.62745,58.513546,25.002176,46.289062,7.20953,130.0,12.287655,24.489998,50.195312,72.890015,1
76.86627,88.62745,75.996254,24.513231,46.38672,10.041561,0.0,18.14703,24.489998,50.195312,63.09002,1
81.10468,40.0,79.69002,25.03693,39.257812,7.20953,140.0,12.971249,24.589998,54.492188,65.19002,1
76.998726,88.62745,75.996254,24.513231,46.38672,8.674374,0.0,15.998592,25.11,50.195312,64.790016,1
74.87952,88.62745,74.03547,24.676022,46.289062,7.20953,0.0,13.947811,25.510002,50.195312,65.19002,1
