ldr1,led2,led3,temperature1,potentiometer2,gas1,led1,air_quality1,temperature2,potentiometer1,humidity1,anomaly
76.32499,88.62745,75.67507,24.529001,46.38672,9.461456,130.0,13.518219,25.0552,50.195312,61.5664,1
75.68514,88.62745,74.90196,24.562601,46.289062,7.5835876,0.0,15.373688,25.3112,50.097656,79.4552,1
76.68874,88.62745,75.67507,24.22563,46.289062,17.97995,130.0,41.447906,24.7776,50.195312,63.5888,1
74.21699,88.62745,73.75909,24.307001,46.289062,7.399475,0.0,13.518219,25.0,50.097656,65.544,1
73.81963,88.62745,72.96358,25.134602,46.38672,7.0729065,0.0,11.565094,25.4776,50.195312,98.744,1
73.91849,88.62745,72.92998,24.540201,46.289062,7.658844,0.0,21.135406,25.2112,50.29297,65.8776,1
76.32499,88.62745,75.68627,24.447487,46.289062,8.7890625,130.0,13.22525,25.0112,50.195312,61.3552,1
74.44829,88.62745,73.72549,24.39962,46.289062,7.4859314,0.0,13.7135315,25.2,50.195312,65.2552,1
76.57869,88.62745,75.67507,24.155504,46.289062,8.939575,0.0,16.057281,24.8,50.29297,65.0664,1
74.07333,88.62745,73.72549,24.469887,46.289062,7.7677,0.0,14.690094,25.1112,50.29297,66.0664,1
8.521621,88.62745,7.8095374,25.2537,46.38672,7.6171875,130.0,12.639313,24.7888,50.29297,61.9448,1
76.34739,88.62745,75.70867,24.18083,46.38672,8.030212,130.0,12.346344,24.9888,50.195312,61.2552,1
76.83239,88.62745,75.68627,24.621763,46.38672,7.444275,130.0,12.834625,25.2664,50.195312,98.8888,1
76.57869,88.62745,75.69747,24.20323,46.38672,11.978119,0.0,22.697906,24.7776,50.29297,63.544,1
76.00409,88.62745,75.66387,24.22563,46.289062,7.301819,0.0,12.184631,24.8,50.195312,1638.2776,1
29.282722,40.0,28.62745,24.37722,39.257812,7.5195312,140.0,12.5416565,24.844,54.492188,61.0112,1
76.46864,88.62745,75.69747,24.23683,46.38672,10.426819,0.0,16.936188,24.7776,50.195312,63.244,1
73.92969,88.62745,72.96358,25.041533,46.38672,7.0841064,0.0,11.565094,25.3,50.29297,98.744,1
74.09573,88.62745,73.74789,24.38842,46.289062,7.658844,0.0,14.397125,25.0112,50.195312,66.444,1
74.48189,88.62745,73.71429,24.41082,46.289062,7.4859314,0.0,13.518219,25.0112,50.195312,65.4552,1
28.764122,88.62745,29.78152,25.499962,46.38672,7.5195312,130.0,13.3229065,25.344,50.195312,84.6112,1
12.21903,88.62745,6.6778665,26.539652,46.289062,7.2265625,130.0,11.66275,24.7552,50.29297,93.1336,1
74.327034,88.62745,73.73669,24.503487,46.289062,7.7565002,0.0,15.569,25.0888,50.195312,65.9664,1
73.91849,88.62745,72.95238,24.38842,46.289062,7.5835876,0.0,15.2760315,25.0,50.195312,66.4552,1
78.244545,88.62745,77.68066,24.36602,46.289062,6.9335938,0.0,11.955719,-3276.644,50.195312,60.844,1
76.19254,88.62745,75.68627,24.19203,46.38672,8.311981,130.0,12.5416565,25.0,50.195312,61.4,1
76.34739,88.62745,75.71987,24.295801,46.289062,7.4859314,0.0,15.959625,24.8888,50.29297,66.144,1
75.92764,88.62745,74.87956,24.725775,46.289062,7.4859314,0.0,16.740875,25.4336,50.195312,98.7664,1
77.8808,88.62745,76.87395,24.318201,46.289062,7.4747314,0.0,12.444,-3276.644,50.195312,62.944,1
71.96533,0.0,70.95799,24.340601,0.0,7.4635315,0.0,12.834625,24.844,0.0,60.344,1
2.2964554,88.62745,1.9719843,24.402687,46.38672,7.6171875,130.0,18.694,24.8664,50.195312,66.0224,1
76.18134,88.62745,75.66387,24.121904,46.38672,8.744263,0.0,15.178375,24.8112,50.195312,63.144,1
74.08453,88.62745,72.98598,24.41082,46.289062,7.5611877,0.0,19.182281,25.0,50.29297,66.544,1
80.971954,40.0,80.0224,25.171724,39.160156,7.5195312,140.0,13.22525,24.8552,54.492188,65.5112,1
76.20374,88.62745,75.68627,24.680975,46.289062,10.569275,130.0,15.373688,25.0664,50.195312,61.7664,1
28.642872,40.0,27.854338,25.42902,39.257812,7.541931,140.0,12.5416565,24.8552,54.589844,61.6,1
73.43349,88.62745,72.95238,24.785038,46.289062,8.364838,130.0,14.201813,25.0664,50.195312,63.4776,1
11.567979,88.62745,12.9187765,24.36602,46.38672,7.2153625,130.0,11.565094,24.7888,50.29297,65.8336,1
76.33619,88.62745,75.66387,24.284601,46.289062,8.420837,130.0,12.5416565,25.0112,50.195312,61.2888,1
76.21494,88.62745,75.70867,24.751438,46.289062,12.717712,130.0,17.717438,25.0552,50.195312,62.7776,1
78.852745,88.62745,77.64706,25.2985,46.289062,7.3466187,130.0,12.736969,26.1888,50.097656,68.4664,1
77.9144,0.0,76.88515,24.24803,79.88281,7.7565002,0.0,12.9322815,24.844,0.29296875,60.244,1
74.07333,88.62745,73.71429,24.87795,46.38672,6.99765,0.0,11.467438,25.344799,50.195312,79.0552,1
74.47069,88.62745,73.72549,24.492287,46.289062,7.4971313,0.0,13.7135315,25.2224,50.195312,65.3552,1
32.351482,88.62745,31.764706,24.284601,46.38672,8.030212,130.0,13.811188,24.9776,50.195312,63.3,1
76.61229,88.62745,75.70867,24.24803,46.289062,8.841919,0.0,15.861969,24.8,50.195312,65.044,1
75.110535,88.62745,74.90196,24.492287,46.289062,7.5611877,0.0,16.740875,25.3776,50.195312,65.7552,1
73.91849,88.62745,72.92998,25.346931,46.289062,7.140106,130.0,11.565094,26.4,50.195312,98.7888,1
74.349434,88.62745,73.72549,24.562601,46.289062,7.7677,0.0,16.838531,25.3,50.195312,65.6888,1
64.646965,88.62745,29.81512,25.041533,87.01172,8.127869,242.0,13.7135315,26.4664,92.96875,98.8,1
27.307169,88.62745,26.655466,24.762638,46.289062,8.897919,130.0,14.78775,24.9664,50.195312,64.2224,1
76.44624,88.62745,75.66387,24.177904,46.289062,9.146088,0.0,15.6666565,24.8112,50.195312,63.1664,1
76.20374,88.62745,75.68627,24.703375,46.289062,12.391144,130.0,17.717438,25.0888,50.195312,62.7776,1
76.32499,88.62745,75.67507,24.762638,46.289062,13.878387,130.0,19.377594,25.0888,50.29297,65.7888,1
68.65407,88.62745,67.85434,24.262201,46.289062,7.7372437,130.0,13.3229065,24.9552,50.195312,49.5,1
76.74474,88.62745,75.70867,24.155504,46.38672,8.939575,0.0,16.154938,24.7776,50.29297,65.0552,1
76.17014,88.62745,75.67507,24.632963,46.289062,10.069794,130.0,14.4947815,25.0776,50.195312,61.6112,1
73.94089,88.62745,73.72549,24.39962,46.38672,7.692444,0.0,15.959625,24.9888,50.29297,66.544,1
74.614334,88.62745,73.72549,24.41082,46.289062,8.744263,0.0,17.326813,25.0,50.29297,65.4664,1
76.20374,88.62745,75.70867,24.295801,46.38672,8.950775,0.0,16.057281,24.7888,50.195312,65.144,1
73.92969,18.82353,72.90758,24.307001,18.75,7.3658752,0.0,12.444,24.844,0.09765625,60.3552,1
76.33619,88.62745,75.69747,24.329401,46.289062,8.961975,0.0,16.447906,24.8,50.195312,64.9552,1
74.48189,88.62745,73.72549,24.42202,46.289062,7.4971313,0.0,13.518219,25.0,50.195312,65.544,1
13.929685,88.62745,11.719906,25.746737,46.38672,7.2377625,130.0,12.248688,24.9888,50.195312,63.3448,1
75.25419,88.62745,74.89076,24.492287,46.38672,7.5723877,0.0,17.717438,25.4112,50.195312,65.944,1
77.9256,88.62745,76.84035,25.42902,46.289062,7.541931,130.0,13.029938,26.4776,50.195312,98.7664,1
59.7799,88.62745,58.81233,24.669775,46.289062,7.564331,130.0,12.5416565,24.7552,50.195312,73.1776,1
76.60109,88.62745,75.70867,24.23683,46.38672,10.306763,0.0,18.401031,24.7664,50.195312,63.3552,1
80.8395,40.0,80.0112,25.369331,39.257812,7.4971313,140.0,13.22525,24.8552,54.492188,65.4664,1
76.74474,88.62745,75.73107,24.22563,46.38672,8.928375,0.0,16.252594,24.7888,50.195312,65.0552,1
74.603134,88.62745,73.74789,24.39962,46.289062,7.4635315,0.0,14.201813,25.1776,50.195312,65.4664,1
76.46864,88.62745,75.68627,24.295801,46.38672,8.657806,0.0,15.373688,24.8224,50.195312,64.9552,1
74.06213,88.62745,73.70309,24.39962,46.289062,7.692444,0.0,14.983063,24.9888,50.195312,66.4552,1
74.09573,88.62745,72.94118,24.22563,46.289062,7.4859314,0.0,15.764313,24.9,50.29297,66.244,1
76.43504,88.62745,75.69747,24.22563,46.289062,23.914581,130.0,63.51822,24.7552,50.195312,63.6,1
