ldr1,led2,led3,temperature1,potentiometer2,gas1,led1,air_quality1,temperature2,potentiometer1,humidity1,anomaly,timestamp
77.88079470198676,88.62745098039215,76.86274509803923,24.366020354310137,46.2890625,7.51953125,0.0,12.5,24.9,50.1953125,62.8,0,2025-07-10 10:14:40
76.82119205298014,88.62745098039215,75.68627450980392,24.121903880573143,46.38671875,7.32421875,0.0,12.3046875,24.8,50.1953125,63.0,0,2025-07-10 10:14:45
78.27814569536424,88.62745098039215,77.64705882352942,24.52900051738868,46.2890625,7.6171875,0.0,12.6953125,25.3,50.1953125,60.9,0,2025-07-10 10:14:50
76.55629139072848,88.62745098039215,75.68627450980392,24.366020354310137,46.2890625,8.203125,0.0,14.6484375,24.8,50.1953125,66.0,0,2025-07-10 10:14:55
78.1456953642384,88.62745098039215,76.86274509803923,24.284601690221166,46.2890625,7.51953125,0.0,12.5,24.9,50.1953125,62.0,0,2025-07-10 10:15:00
76.29139072847683,88.62745098039215,75.68627450980392,24.52900051738868,46.38671875,9.47265625,130.0,13.57421875,25.1,50.1953125,61.6,1,2025-07-10 10:15:05
76.82119205298014,88.62745098039215,75.68627450980392,24.366020354310137,46.2890625,7.32421875,0.0,12.20703125,25.0,50.1953125,62.6,0,2025-07-10 10:15:10
79.73509933774835,88.62745098039215,78.82352941176471,24.44748640842994,87.01171875,7.91015625,0.0,12.98828125,25.1,92.96875,61.8,0,2025-07-10 10:15:15
76.95364238410596,88.62745098039215,75.68627450980392,24.04062341297231,46.38671875,7.421875,0.0,12.3046875,24.8,50.1953125,62.6,0,2025-07-10 10:15:20
78.27814569536424,88.62745098039215,77.64705882352942,24.52900051738868,46.2890625,6.93359375,0.0,12.01171875,25.1,50.1953125,60.8,0,2025-07-10 10:15:25
76.82119205298014,88.62745098039215,75.68627450980392,24.61056334756654,46.2890625,7.32421875,0.0,12.3046875,25.1,50.1953125,62.9,0,2025-07-10 10:15:30
75.62913907284768,88.62745098039215,74.90196078431373,24.52900051738868,46.2890625,7.6171875,0.0,15.4296875,25.3,50.09765625,79.5,1,2025-07-10 10:15:35
73.77483443708608,88.62745098039215,72.94117647058823,24.121903880573143,46.38671875,7.51953125,0.0,12.3046875,24.8,50.29296875,63.0,0,2025-07-10 10:15:40
80.0,88.62745098039215,78.82352941176471,24.44748640842994,87.109375,8.0078125,0.0,13.0859375,24.9,93.06640625,62.1,0,2025-07-10 10:15:45
78.41059602649007,88.62745098039215,77.64705882352942,24.284601690221166,46.2890625,6.93359375,0.0,12.01171875,25.0,50.1953125,60.9,0,2025-07-10 10:15:50
76.02649006622516,88.62745098039215,75.68627450980392,24.121903880573143,46.2890625,7.71484375,0.0,13.18359375,24.7,50.1953125,63.2,0,2025-07-10 10:15:55
76.6887417218543,88.62745098039215,75.68627450980392,24.203229752895254,46.2890625,17.96875,130.0,41.50390625,24.8,50.1953125,63.6,1,2025-07-10 10:16:00
78.67549668874172,88.62745098039215,77.64705882352942,24.773837845155356,46.2890625,7.12890625,0.0,12.20703125,25.8,50.09765625,61.4,0,2025-07-10 10:16:05
77.6158940397351,88.62745098039215,76.86274509803923,24.692175566948265,46.2890625,7.32421875,0.0,12.40234375,25.6,50.1953125,62.3,0,2025-07-10 10:16:10
76.42384105960265,88.62745098039215,75.68627450980392,24.203229752895254,46.2890625,8.203125,0.0,16.015625,24.8,50.1953125,65.0,0,2025-07-10 10:16:15
78.27814569536424,88.62745098039215,77.64705882352942,24.284601690221166,46.2890625,7.03125,0.0,12.109375,24.9,50.1953125,61.0,0,2025-07-10 10:16:20
77.88079470198676,88.62745098039215,76.86274509803923,24.692175566948265,46.2890625,7.32421875,0.0,12.40234375,25.5,50.1953125,62.3,0,2025-07-10 10:16:25
78.1456953642384,88.62745098039215,77.64705882352942,24.284601690221166,46.2890625,7.2265625,0.0,12.20703125,25.0,50.1953125,63.4,0,2025-07-10 10:16:30
76.15894039735099,88.62745098039215,75.68627450980392,24.203229752895254,46.38671875,7.2265625,0.0,12.20703125,24.8,50.29296875,63.6,0,2025-07-10 10:16:35
74.43708609271523,88.62745098039215,73.72549019607844,24.284601690221166,46.2890625,7.51953125,0.0,13.4765625,25.0,50.1953125,65.6,0,2025-07-10 10:16:40
72.98013245033113,88.62745098039215,71.76470588235294,24.203229752895254,46.38671875,7.03125,0.0,11.5234375,24.7,50.29296875,65.1,0,2025-07-10 10:16:45
73.50993377483444,88.62745098039215,72.94117647058823,24.203229752895254,46.38671875,7.03125,0.0,11.5234375,24.8,50.1953125,65.7,0,2025-07-10 10:16:50
77.35099337748345,88.62745098039215,76.86274509803923,24.284601690221166,46.2890625,7.421875,0.0,12.40234375,24.9,50.29296875,62.3,0,2025-07-10 10:16:55
76.6887417218543,88.62745098039215,75.68627450980392,24.44748640842994,46.2890625,8.203125,0.0,14.55078125,24.8,50.1953125,65.8,0,2025-07-10 10:17:00
76.29139072847683,88.62745098039215,75.68627450980392,24.203229752895254,46.2890625,8.3984375,0.0,16.796875,24.9,50.1953125,64.7,0,2025-07-10 10:17:05
76.55629139072848,88.62745098039215,75.68627450980392,24.284601690221166,46.2890625,8.3984375,0.0,14.94140625,24.8,50.29296875,65.0,0,2025-07-10 10:17:10
74.17218543046357,88.62745098039215,73.72549019607844,24.284601690221166,46.2890625,7.421875,0.0,13.57421875,25.0,50.09765625,65.6,1,2025-07-10 10:17:15
76.29139072847683,88.62745098039215,75.68627450980392,24.203229752895254,46.38671875,8.49609375,0.0,15.8203125,24.8,50.1953125,65.1,0,2025-07-10 10:17:20
73.77483443708608,88.62745098039215,72.94117647058823,25.10100099777185,46.38671875,7.12890625,0.0,11.62109375,25.5,50.1953125,98.8,1,2025-07-10 10:17:25
